,B__Prev,B__Age,B__Height,B__Weight,Last_round,Max_round,R__Prev,R__Age,R__Height,R__Weight,Streak,TIPClinch Time,TIPMisc. Ground Control Time,TIPMount Control Time,TIPDistance Time,TIPGround Control Time,TIPGuard Control Time,TIPGround Time,TIPBack Control Time,TIPSide Control Time,TIPControl Time,StrikesPunchesLanded,StrikesDistance Body PunchesLanded,TIPHalf Guard Control Time,StrikesLeg Total Strikes,StrikesClinch Leg Strikes,StrikesGround Significant Punches,StrikesGround Leg Strikes,GrapplingSubmissions,StrikesLegs Significant Strikes,StrikesHead Significant Strikes,StrikesDistance Body Punches,StrikesDistance Body Kicks,StrikesPunches,StrikesBody Significant Strikes,StrikesHead Total Strikes,StrikesSignificant Strikes,winner,B_HomeTown,B_Location,R_HomeTown,R_Location,B_name,R_name,B_W_Category,R_W_Category
600,5,31.0,175.0,70.0,3,3,3,33.0,180.0,77.0,0.0,1.17875,0.0,0.06142767386786525,43.767873340000456,3.157249283667622,0.0,25.01159088870953,0.0,0.0022883295194508014,0.16146892655367232,0.4855607586248838,0.8492063492063492,0.0,0.0,0.0,0.0,0.0,1.86631863521954,1.7187500000000002,57.10064811284789,0.26637912207905656,0.0,4.521951381386017,2.5090433766984517,0.0,24.97803521174643,0,694,543,338,291,Al Iaquinta,Jorge Masvidal,Lightweight,Welterweight
601,1,32.0,177.0,70.0,3,3,2,30.0,185.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.617647058823529,0.0,0.0,0.0,14.175257731958759,0.0,3.8584665163251297,3,540,161,28,416,Mitch Clarke,Michael Chiesa,Lightweight,Lightweight
602,0,33.0,190.0,120.0,1,3,0,37.0,190.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,390,174,113,126,Tim Johnson,Shamil Abdurakhimov,Heavyweight,Heavyweight
603,1,35.0,170.0,56.0,3,3,1,34.0,167.0,56.0,0.0,0.0,0.0,0.0,0.0,0.05223880597014925,0.0,0.0,0.0,0.0,0.7368421052631579,16.544055944055938,0.0,0.0,0.0,0.0,1.1504424778761062,0.0,0.0,0.0,86.7857142857143,0.0,0.0,46.00574712643678,0.3412997903563941,0.0,0.3956170703575548,3,28,198,273,383,Lauren Murphy,Liz Carmouche,Flyweight,Flyweight
604,1,29.0,165.0,61.0,1,3,0,29.0,167.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1,539,418,Milana Dudieva,Julianna Pena,Bantamweight,Bantamweight
605,2,32.0,172.0,65.0,3,3,2,36.0,170.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.196650717703353,0.0,0.0,0.0,14.576279463919684,0.0,13.859128693911302,3,553,167,479,218,Robert Peralta,Clay Guida,Featherweight,Featherweight
606,1,38.0,180.0,84.0,3,3,1,35.0,182.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,3,-1,433,136,76,Justin Jones,Ron Stallings,Light Heavyweight	,Light Heavyweight
607,2,34.0,190.0,77.0,3,3,1,39.0,172.0,65.0,0.0,16.008695652173913,0.0,0.5362318840579711,0.0,81.0,0.0,0.0,0.0,0.0,1.2173913043478262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,2.9037037037037043,0.0,70.46153846153847,0,225,171,430,245,Alexander Yakovlev,Gray Maynard,Welterweight,Featherweight
608,1,35.0,185.0,77.0,5,5,2,40.0,185.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.915232367917795,0.0,0.0,0.0,0.0,0.0,6.339682901790807,3,337,175,513,397,Ryan LaFlare,Demian Maia,Welterweight,Welterweight
609,0,30.0,180.0,77.0,3,3,2,32.0,177.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,658,510,384,50,Alex Oliveira,Gilbert Burns,Welterweight,Lightweight
610,2,32.0,172.0,65.0,2,3,2,36.0,172.0,65.0,0.0,0.4838261617630257,3.7620192307692313,0.0,4.5582753762662085,3.0407615395151346,4.855328406436958,59.81992797118848,23.0,0.7102383053839365,5.859230134459492,5.118951612903227,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.5106382978723405,0.0,49.828571428571436,0.0,0.6666666666666666,0.0,8.156667973685355,0.0,1.4153013794329063,3,601,471,250,449,Sam Sicilia,Katsunori Kikuno,Featherweight,Featherweight
